name,id,name
,,
KASEMRAT_EB_1_0_XSXX,'459551209#3_0',KASEMRAT_EB_1_0_XSXX
,,
KASEMRAT_EB_1_1_XSXX,'459551209#3_1',KASEMRAT_EB_1_1_XSXX
,,
KASEMRAT_EB_1_2_XSXX,'459551209#3_2',KASEMRAT_EB_1_2_XSXX
,,
KASEMRAT_EB_1_3_XSRU,'459551209#3_3',KASEMRAT_EB_1_3_XSRU
,,
KASEMRAT_EB_2_0_LSXX,'459551209#0_0',KASEMRAT_EB_2_0_LSXX
,,
KASEMRAT_EB_2_1_XSXX,'459551209#0_1',KASEMRAT_EB_2_1_XSXX
,,
KASEMRAT_EB_2_2_XSXX,'459551209#0_2',KASEMRAT_EB_2_2_XSXX
,,
KASEMRAT_EB_2_3_XSXX,'459551209#0_3',KASEMRAT_EB_2_3_XSXX
,,
KASEMRAT_EB_3_0_LSXX,'820340552#2_0',KASEMRAT_EB_3_0_LSXX
,,
KASEMRAT_EB_3_1_XSXX,'820340552#2_1',KASEMRAT_EB_3_1_XSXX
,,
KASEMRAT_EB_3_2_XSXX,'820340552#2_2',KASEMRAT_EB_3_2_XSXX
,,
KASEMRAT_EB_4_0_LSXX,'820340552#1_0',KASEMRAT_EB_4_0_LSXX
,,
KASEMRAT_EB_4_1_XSXX,'820340552#1_1',KASEMRAT_EB_4_1_XSXX
,,
KASEMRAT_EB_4_2_XSXX,'820340552#1_2',KASEMRAT_EB_4_2_XSXX
,,
KASEMRAT_EB_5_0_LSXX,'820340552#0_0',KASEMRAT_EB_5_0_LSXX
,,
KASEMRAT_EB_5_1_XSXX,'820340552#0_1',KASEMRAT_EB_5_1_XSXX
,,
KASEMRAT_EB_5_2_XSXX,'820340552#0_2',KASEMRAT_EB_5_2_XSXX
,,
KASEMRAT_EB_6_0_LSXX,'153225678#3_0',KASEMRAT_EB_6_0_LSXX
,,
KASEMRAT_EB_6_1_XSXX,'153225678#3_1',KASEMRAT_EB_6_1_XSXX
,,
KASEMRAT_EB_6_2_XSXX,'153225678#3_2',KASEMRAT_EB_6_2_XSXX
,,
KASEMRAT_EB_6_3_XSXX,'153225678#3_3',KASEMRAT_EB_6_3_XSXX
,,
KASEMRAT_EB_7_0_LSXX,'153225678#2_0',KASEMRAT_EB_7_0_LSXX
,,
KASEMRAT_EB_7_1_XSXX,'153225678#2_1',KASEMRAT_EB_7_1_XSXX
,,
KASEMRAT_EB_7_2_XSXX,'153225678#2_2',KASEMRAT_EB_7_2_XSXX
,,
KASEMRAT_EB_7_3_XSXX,'153225678#2_3',KASEMRAT_EB_7_3_XSXX
,,
KASEMRAT_EB_8_0_LSXX,'153225678#1_0',KASEMRAT_EB_8_0_LSXX
,,
KASEMRAT_EB_8_1_XSXX,'153225678#1_1',KASEMRAT_EB_8_1_XSXX
,,
KASEMRAT_EB_8_2_XSXX,'153225678#1_2',KASEMRAT_EB_8_2_XSXX
,,
KASEMRAT_EB_8_3_XSXX,'153225678#1_3',KASEMRAT_EB_8_3_XSXX
,,
KASEMRAT_EB_9_0_XSXX,'153225678#1-AddedOnRampEdge_0',KASEMRAT_EB_9_0_XSXX
,,
