throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,7.796983285317651,0.0,17
0,0,0,0,0,1,1,9.408112036513343,0.007485576416905071,35
0,0,0,0,0,0,0,9.735901262006415,0.03532087085456184,59
0,3,1,0,1,0,5,10.076009312830468,0.024986370826265005,79
2,3,0,1,0,0,6,9.76931108325662,0.06015514518442084,109
1,1,0,0,3,1,6,9.932351460839882,0.13125292910853978,133
2,6,1,5,1,0,15,9.936084313286134,0.16834035142918022,155
0,4,0,4,0,1,9,9.268328776105227,0.2714836475311842,174
2,10,1,4,2,3,22,9.584007590579754,0.2479483406971638,205
1,3,2,0,1,1,8,8.69358930514283,0.5087723803853025,230
3,9,2,17,5,3,39,9.300875112265903,0.4687852528112441,249
6,8,2,7,4,3,30,9.20942117277305,0.5433255166029604,277
6,8,3,6,10,6,39,9.214556247006636,0.5805046522960989,291
8,7,4,4,3,3,29,8.636824123076865,0.8067070687288139,322
2,10,2,6,9,4,33,8.444530045540885,1.0623969583646027,346
14,13,7,6,5,3,48,7.838454953093391,1.3258380140510682,367
7,9,3,4,11,8,42,7.330537278652368,1.5955486730291812,401
8,9,5,16,8,4,50,7.759405003796122,1.5518089852376278,403
7,6,4,8,12,7,44,7.492019696984118,1.8111273688644762,419
10,10,7,5,9,3,44,7.346604386194253,1.7512020092784648,430
11,13,4,3,16,13,60,7.079110459179459,2.016279184821594,454
11,15,18,0,6,3,53,6.713832429982576,2.2047178183193,444
11,9,6,13,19,9,67,6.659088849913459,2.358289757644995,468
5,11,14,6,6,6,48,6.22270016485671,2.513541385832295,483
21,13,4,6,12,0,56,6.391981305923414,2.570226656834834,490
8,7,10,15,5,12,57,5.812226492863407,2.8896417960373424,486
7,7,10,6,15,11,56,6.0246668933843175,2.9738651649851064,505
11,10,9,10,8,6,54,5.953269267187897,3.048072121740007,508
8,14,10,5,16,12,65,5.472455283077034,3.368399650097145,519
10,9,10,3,4,5,41,5.362351038682306,3.6154731929363217,541
5,7,7,4,9,12,44,5.150548456211354,4.0363134712831386,553
1,14,15,5,4,11,50,4.824535938502886,4.133930247539673,555
11,21,5,9,6,3,55,4.93290012688198,4.177473381518671,569
8,11,11,12,7,11,60,5.086501162978543,4.255084781371207,588
9,10,10,5,12,7,53,5.0214478610534234,4.568714333193551,603
7,13,8,2,6,9,45,4.675801881619284,4.925034279331631,614
6,9,12,12,9,5,53,4.860859142298053,4.921739547516812,632
9,9,9,12,3,6,48,4.343538368771862,5.2684682472445825,646
6,6,10,5,12,12,51,4.291449001041156,5.647250971583626,661
13,17,13,7,4,5,59,4.227378723042893,5.776541444332252,669
7,16,9,6,12,8,58,4.258414440475841,5.708910965373033,681
10,10,3,12,4,11,50,4.108137275827737,6.134440725136225,695
6,20,4,3,7,7,47,4.1312543469269505,6.259550415963712,713
4,14,2,9,5,8,42,3.7635435755041953,6.586709734477914,723
11,12,0,10,7,5,45,3.8900482150671594,6.829021272095312,736
0,16,1,11,12,14,54,4.011577601374177,6.737254480336275,760
8,15,0,14,5,10,52,3.9514440302043963,7.374922589346634,790
4,19,18,16,12,7,76,3.8996327607366674,7.493317004518996,788
32,12,5,11,5,6,71,3.7092799616448944,7.226039160670534,772
2,11,2,11,10,14,50,3.7328919170652823,7.212234786399862,786
12,14,1,15,6,5,53,3.822605536901477,7.384893153668495,808
12,14,0,13,7,0,46,3.4985838073281323,8.041238729688809,823
8,10,2,13,12,19,64,3.6849968181111015,8.09550004631844,851
